Program,Pvalue,Avalue,Mag
P368,0.02,0.39,small
P370,0.34,0.48,negligible
P371,0.16,0.46,negligible
P372,1.0,0.5,negligible
P374,1.0,0.5,negligible
P375,0.08,0.43,negligible
P376,1.0,0.5,negligible
P378,0.34,0.48,negligible
P379,1.0,0.5,negligible
P38,0.02,0.39,small
P380,0.04,0.41,small
P383,0.34,0.48,negligible
P384,0.34,0.48,negligible
P385,0.34,0.48,negligible
P386,0.16,0.46,negligible
P387,0.16,0.46,negligible
P388,0.04,0.41,small
P389,0.34,0.48,negligible
P39,1.0,0.5,negligible
P390,0.34,0.48,negligible
P391,1.0,0.5,negligible
P392,0.34,0.48,negligible
P395,1.0,0.5,negligible
P396,0.02,0.39,small
P397,0.34,0.48,negligible
P398,0.34,0.48,negligible
P399,1.0,0.5,negligible
P4,0.02,0.39,small
P40,1.0,0.5,negligible
P400,1.0,0.5,negligible
P401,1.0,0.5,negligible
P404,0.0,0.35,small
P405,1.0,0.5,negligible
P406,0.34,0.48,negligible
P407,0.0,0.35,small
P409,0.16,0.46,negligible
P41,0.0,0.26,large
P410,0.0,0.35,small
P411,0.16,0.46,negligible
P412,1.0,0.5,negligible
P413,0.04,0.41,small
P414,0.02,0.39,small
P415,1.0,0.5,negligible
P416,0.34,0.48,negligible
P417,0.0,0.28,medium
P418,0.34,0.48,negligible
P419,0.0,0.35,small
P42,0.34,0.48,negligible
P420,0.34,0.48,negligible
P421,0.0,0.35,small
P422,0.0,0.22,large
P424,0.34,0.48,negligible
P425,0.04,0.41,small
P426,1.0,0.5,negligible
P428,0.08,0.43,negligible
P429,0.34,0.48,negligible
P43,0.34,0.48,negligible
P431,0.04,0.41,small
P432,0.0,0.2,large
P433,1.0,0.5,negligible
P435,0.34,0.48,negligible
P436,0.0,0.33,medium
P437,1.0,0.5,negligible
P439,0.08,0.43,negligible
P44,0.01,0.37,small
P440,0.16,0.46,negligible
P441,1.0,0.5,negligible
P442,0.01,0.37,small
P443,0.34,0.48,negligible
P444,1.0,0.5,negligible
P446,0.34,0.48,negligible
P447,0.02,0.39,small
P448,0.34,0.48,negligible
P45,0.01,0.37,small
P450,1.0,0.5,negligible
P451,0.0,0.33,medium
P452,0.34,0.48,negligible
P453,0.34,0.48,negligible
P454,0.04,0.41,small
P455,1.0,0.5,negligible
P456,1.0,0.5,negligible
P457,0.08,0.43,negligible
P458,0.34,0.48,negligible
P459,0.08,0.43,negligible
P46,1.0,0.5,negligible
P460,0.04,0.41,small
P462,0.16,0.46,negligible
P463,0.34,0.48,negligible
P464,0.08,0.43,negligible
P465,0.0,0.35,small
P466,0.16,0.46,negligible
P469,1.0,0.5,negligible
P470,0.34,0.48,negligible
P471,0.02,0.39,small
P472,0.01,0.37,small
P473,1.0,0.5,negligible
P474,1.0,0.5,negligible
P475,0.34,0.48,negligible
P476,0.34,0.48,negligible
P478,1.0,0.5,negligible
P479,0.0,0.35,small
P48,1.0,0.5,negligible
P480,0.02,0.39,small
P481,0.0,0.33,medium
P482,1.0,0.5,negligible
P484,1.0,0.5,negligible
P486,0.34,0.48,negligible
P489,0.34,0.48,negligible
P49,0.34,0.48,negligible
P490,0.16,0.46,negligible
P491,1.0,0.5,negligible
P492,0.16,0.46,negligible
P494,1.0,0.5,negligible
